,,,,,,,,
id,name,type,nationality,sex,age,category,study,year
SFS,South Florida Sun Sentinel,2,1,99,99,Public Service,99,2019
PPG,Staff of the Pittsburgh Post-Gazette,2,1,99,99,Breaking News Reporting,99,2019
MaHa,Matt Hamilton,1,1,1,27,Investigative Reporting,1,2019
HaRy,Harriet Ryan,1,1,2,99,Investigative Reporting,1,2019
PaPr,Paul Pringle,1,1,1,64,Investigative Reporting,1,2019
DaBa,David Barstow,1,1,1,56,Explanatory Reporting,1,2019
SuCr,Susanne Craig,1,3,2,99,Explanatory Reporting,2,2019
RuBu,Russ Buettner,1,1,1,58,Explanatory Reporting,1,2019
ABR,"Staff of The Advocate, Baton Rouge, La.",2,1,99,99,Local Reporting,99,2019
WSJ,Staff of The Wall Street Journal,2,1,99,99,National Reporting,99,2019
MaMi,Maggie Michael,1,3,2,99,International Reporting,99,2019
Maal,Maad al Zikry,1,3,1,99,International Reporting,3,2019
NaEl,Nariman El-Mofty,1,3,2,99,International Reporting,99,2019
RE,Staff of Reuters,2,3,99,99,International Reporting,99,2019
WaLo,Wa Lone,1,3,1,34,International Reporting,99,2019
KySo,Kyaw Soe Oo,1,3,1,99,International Reporting,99,2019
HaDr,Hannah Dreier,1,1,2,99,Feature Writing,3,2019
ToMe,Tony Messenger,1,1,1,99,Commentary,99,2019
CaLo,Carlos Lozada,1,3,1,48,Criticism,2,2019
BrSt,Brent Staples,1,1,1,69,Editorial Writing,3,2019
DarBe,Darrin Bell,1,1,1,44,Editorial Cartooning,2,2019
RE,Photography Staff of Reuters,2,3,99,99,Breaking News Photography,99,2019
LoTu,Lorenzo Tugnoli,1,3,1,40,Feature Photography,3,2019